aamu	утро
ehdottomasti	безусловно, абсолютно; обязательно
ehdotus	предложение
ehkäд	может быть; возможно
ehtiä	успевать
ei	не; нет
Ei kestä.	Не за что (в ответ на спасибо).
ei koskaan	никогда
ei kukaan	никто
ei mikään	ничто
ei	mitään (> ei mikддn) ничего (> ничто) (партитив ед. ч.)
Ei mitään erikoista.	Ничего особенного.
ei ollenkaan	совсем не[т]
Ei se mitään.	Это ничего.
ei tarvitse	не надо, не нужно
eikö niin	Не так ли?
eilen	вчера
ekonomi	бакалавр экономических наук
eli	или; то есть; другими/иными словами
elokuu	август
elokuva	кинофильм elokuviin (>
mennä elokuviin)	в кино (> идти в кино)
eläke	пенсия
eläkkeellä	(> olla eläkkeellä) на пенсии (> быть на пенсии)
elämys	переживание, впетчатление, ощущение
elämä	жизнь
elää	жить
en	я не[т]
enemmän	больше, более
Englanti	Англия
englantilainen	англичанин; английский
enkä (= ja en)	и/а я не[т]
ennen	раньше; прежде; до (кого-чего); перед (кем-чем)
ensi	первый; будущий, следующий
ensi-ilta	премьера
ensimmäinen	первый
ensin	первым делом; сначала, сперва; во-первых
entinen	бывшый; прежний
Entä itsellesi?	А ты? А у тебя как? А тебе что?
enä	уже (не) ; больше (не) ; только
eri	разный, другой
eri mieltä	другого мнения, не согласен
erikoinen	особенный; особый, специфический; своеобразный
erikoislääkäri	врач-специалист
erilainen	разный, различный
erittäin	очень, весьма; особенно; чрезвычайно eronnut (> erota) разведенный (> разводиться с кем)
erota (= olla erilainen)	отличаться
erota	разводиться (с кем)
esikoinen	первенец
esimerkiksi	на пример
esine	предмет, вещь
esitellä	показывать, демонстировать; докладывать, знакомить (с чем); представлять (кого кому)
esittä	предъявлять, показывать; высказывать, выражать; представлять; исполнять, играть; изображать
esitys	представление; выступление; изложение
eteen	вперед; перед (кем-чем); для, ради (кого-чего)
eteenpäin	вперед; дальше, далее; [начиная] с (чего)
etelä	юг
etsiä	искать
että	что
euro	евро
 	 
F	Наверх
fiksu	сообразительный; толковый; остроумный; умница
file	филе
Firenze	Флоренция
firma	фирма
flunssa	грипп
fraasi	речевой оборот, выражение, фраза    
 	 
G	наверх ylos
glögi	глинтвейн
graavi	свежепросоленный
graavilohi	свежепросоленная лососина
grillimakkara	колбаса, жареная на гриле    
 	 
H	Наверх
haalari	комбинезон; спецодежда
haarukka	вилка
haastattelija	берущий интервью, интервьюер
haista	пахнуть, вонять
haitata	мешать, затруднять
hajota	разваливаться, распадаться, ломаться
Hakaniemi (kaupunginosa Helsingissд)	Хаканиеми (один из районов Хельсинки)
hakea	*сходить/*съездить (за кем-чем); искать; подавать [заявление] (на что)
halata	обнимать
halpa	дешевый, недорогой
haluta	хотеть; желать
hame	юбка
hammas	зуб
hammaslääkäri	зубной врач, стоматолог
hampurilainen	гамбургер
hangata	тереть; натирать; стирать (резинкой и т.п.) и пр.
hankkia	доставать; приобретать; снабжать
hansikas	перчатка
harmi	досада; неприятность
hassu	дурашливый, дурацкий; чудак; нелепый; забавный, смешной
hauki	щука
hauska	веселый; смешной, забавный; приятный
he	они
Hei	Привет!
hei hei	Пока!
heinäkuu	июль
heippa	Привет! Пока!
helmikuu	февраль
helpottaa	облегчать
helppo	легкий
hengittää	дышать
henkari	вешалка
henki	дух; жизнь; человек; воздух, дыхание
henkilö	лицо; личность; персонаж
henkilökunta	персонал
henkilällisyystodistus	удостоверение личности
hermostua	*разнервничаться; нервничать
Herrajumala	Господи! Боже мой!
herätä	просыпаться
heti	сразу, сейчас
hetkeksi	на минутку
hetki	минута, момент
hetkinen	минутка
hidas	медленный
hiekoittaa	посыпать песком
hieno	отменный, прекрасный; изящный; тонкий
hiihtää	ходить на лыжах
hinta	цена, стоимость
hirveä	ужасный, страшный
hissi	лифт
hitaasti	медленно
hoitaa	ухаживать, заботиться; лечить и проч.
hoitaja	медсестра
hoito	уход; лечение, курс лечения
Hollanti	Голландия
homma	дело (замысел)
hotelli	гостиница, отель
hotellihuone	номер в гостинице
housut	брюки, штаны
hovimestari	метрдотель
huhtikuu	апрель
hulina	суматоха
hullu	безумный, сумасшедшый; дурацкий
huolehtia	заботиться, следить (за кем-чем); беспокоиться
huoli	забота; беспокойство
huomata	замечать; обнаруживать
huomenna	завтра
Huomenta!	Доброе утро!
huone	комната
huonekalu	предмет мебели
huono	плохой; дурной; неблагоприятный
huumori	юмор
huutaa	кричать
hymyillä	улыбаться
hypätä	прыгать
hytti	каюта; кабина
hyttynen	комар
hyvin	хорошо
hyvä	хороший; добрый
hyvдstelyt	прощание
Hyvää huomenta!	Доброе утро!
Hyvää iltaa!	Добрый вечер!
Hyvää jatkoa.	Всего хорошего! Счастливо!
hyvää joulua	С Рождеством Христовым!
Hyvää pдivää!	Добрый день!
Hyvää yötä	Спокойной ночи!
hyödyllinen	полезный
häiritä	мешать; беспокоить; нарушать
hän	он, она
härkä	вол, бык
hätä	беда
hätäntyä	пугаться; растериваться
hääpari	молодые, жених и невеста
häät	свадьба
hökötys	штука, штуковина
höpistд	бормотать; болтать
höpsis	Ерунда!    
 	 
I	Наверх
idea	идея
ihan	совсем
ihana	чудный, чудесный; прекрасный; удивительный; очаровательный и т. п.
ihanasti	чудно; прекрасно; удивительно и т. д.
ihme	чудо
ihmeellinen	удивительный, чудесный; чудный
ihminen	человек
ikivanha	древний, вековой; исконный
ikkuna	окно
ikuisuus	вечность
ikä	век, жизнь
ikä	возраст
ikäinen	-летний
ilma (= sдд)	погода
ilmaista	выражать
ilman muuta	конечно, обязательно; безо всяких, просто так
ilmansuunta	страна света
ilmoittautuminen	запись, регистрация, подача заявок
ilmoitus	сообщение, объявление, заявление; реклама
ilta	вечер
Iltaa!	Добрый вечер!
iltapäivä	вторая половина дня
inhota	испытывать/питать отвращение (к кому-чему); ненавидеть, не мочь терпеть (кого-что)
inventaario	инвентарь
islantilainen	исландец; исландский
iso	большой; крупный
isoisä	дедушка
isoveli	старший брат
isoäiti	бабушка
istua	сидеть
istuva	сидящий
isä	отец
itse	сам, сама
itse asiassa	по сути дела
itsepalvelupesula	прачечная самообслуживания
itä	восток
itämurre	восточный диалект
Itä-Suomi	Восточная Финляндия
 	 
J	Наверх
ja	и
jaksaa	поживать, чувствовать себя; (не) мочь больше, быть (не) в силах
jalka	нога
jatkaa	продолжать
jatko	продолжение
jatkua	продолжаться
jauheliha	рубленое мясо, фарш
jeesata (= auttaa)	помогать (разг.)
jo	уже; еще
Joensuu (kaupungin nimi)	Йоенсуу (название города)
johonkin	куда-то, куда-нибудь
johtaja	руководитель; директор; заведующий; лидер и пр.
joka (jokainen)	каждый
joka (relatiivipronomini)	который
joki	река
jokin	что-то, кое-то, что-нибудь
joku	что-то, кое-то, что-нибудь
joku	кто-то, кое-кто, кто-нибудь
jonkin verran (= vдhдn)	немного, мало
jonnekin	куда-то, куда-нибудь
jono	очередь
joo	Да
jos	если
joskus	иногда
jotain	инодга, порой; когда-то, некогда; когда-нибудь
jotakin	что-то, что-нибудь
joten	так что
joulu	Рождество
jouluaatto	рождественский сочельник
jouluhulina	предрождественская суматоха
joulukuu	декабрь
joulukuusi	[рождественская] елка
joululahjakirja	книга, подаренная на Рождество
jouluostos	покупки на Рождество
joulupukki	Дед Мороз
joulupäivä	день Рождества
joulurauha	рождественский покой
jouluruuhka	заторы людей и машин до и после Рождества
joulustressi	предрождественский стресс (связанный со всеми нужными и ненужными приготовлениями)
jouluvalmistelu	предрождественские приготовления
jouluvalot	рождественские огни (праздничное освещение города и частных домов)
jousto	эластичность; гибкость; гибкий режим работы; уступок
juhla	праздник; торжество; юбилей
juhlahame	праздничная/выходная юбка, праздничный наряд
juhlapäivä	праздник, праздичный день
juhlia	праздновать, отмечать; веселиться
juna	поезд
junamatka	поездка/проезд на поезде
juoda	пить; выпивать
juoma	напиток; питье
juosta	бегать
jutella	разговаривать
juttu	история; статья; дело
juures	корнеплод
juuri (= hetki sitten)	только что
juuri	корень; подножие
juusto	сыр
juustosämpylä	сайка с сыром
jyrähdys	удар; грохот
jälkeen	после
jälkiruoka	десерт, сладкое
jännittävä	захватывающий; интересный
järjestysluku	порядковое числительное
järjestää	устраивать; организовать; систематизировать
järvi	озеро
jättää	оставлять; бросать
jää	лед
jäädä	оставаться
jääkaappi	холодильник
jäätelö	мороженое
jäätyä	леденеть; замерзать    
 	 
K	Наверх.
kaapelitehdas	кабельный завод
kaappi	шкаф
kaasu	газ
kadunkulma	угол улицы
kahdeksan	восемь
kahdeksankymmentä	восемьдесят
kahdeksantoista	восемнадцать
kahdeksanvuotias	восьмилетний
kahdeksas	восьмой
kahdeskymmenes	двадцатый
kahvi	кофе
kahvikuppi	кофейная чашка; чашка кофе
kahvila	кафе, кафетерий
kahvimuki	кофейная кружка
kahvinkeitin	кофеварка
kai	наверно, наверное; пожалуй
kaihdin	штора
kaikki	все, всё
kaiutin	репродуктор; громкоговоритель
kaivata	тосковать (по кому-чему) не хватать (кому кого); нуждаться (в чем), требовать (кого-чего)
kakkonen	двойка
kakkosasunto	вторая квартира
kakku	кекс; торт
kaksi	два
kaksikymmentä	двадцать
kaksistaan	вдвоем
kaksitoista	двенадцать
kaksitoistavuotias	двенадцатилетний
kala	рыба
kalakeitto	уха, рыбный суп
kalastaa	ловить рыбу, рыбачить
kalenteri	календарь
kalja	пиво (разг.); квас
kallis	дорогой
kalsarit	трусы; кальсоны (разг.)
kamala	ужасный, страшный
kammata	причесывать[ся]
kampa	расческа, гребенка
Kanariansaaret	Канарские острова
kangas	ткань
kannattaa	поддерживать; стоить (например в смысле "стоит попробовать"); [фирма] рентабельна
kannu	кувшин
kansa	народ
kanssa	с (кем-чем)
kappale	кусок; абзац, отрывок; экземпляр; штука; тело; вещь
karjalanpiirakka	карельский пирожок (пирожок с рисом или с картофельным пюре)
karkkia (= karamelli)	конфетка (партитив ед. ч.)
kartta	карта; план
kasi	восьмерка
kassi	сумка; [полиэтиленовый] пакет
kastejuhla	крестины
kasvis	овощ
kasvisruoka	вегетарианское блюдо, растительная пища
katsella	смотреть, осматривать
katsoa	смотреть, глядеть
katu	улица
kauan	долго; давно
kauhea	ужасный, страшный
kaukana	далеко; вдали, вдалеке
kaulaliina	шарф
Kauniita unia.	Приятных сновидений!
kaunis	красивый, прекрасный
kauppa	магазин, лавка; торговля; сделка
kauppahalli	крытый рынок
kauppias	торговец; владелец магизина; купец; продавец
kaupunginosa	район, часть города
kaupunki	город
kautta	через (кого-что)
kaveri	приятель
kehua	хвалить; хвастаться
keittiö	кухня
keittää	варить
kelakortti	карточка медицинского страхования (выдается Пенсионным управлением "КЕЛА")
keli	состояние дорог (зависящее от погодных условий)
kello	часы; (который) час
kelvata	годиться; действительный (билет)
kenkä	туфля, ботинок
kenkäkauppa	магазин обуви
kerma	сливки
kerrata	повторять
kerros	этаж
kerrostalo	многоэтажный дом
kerrostaloasunto	квартира во многоэтажном доме
kerta	раз
kertoa	рассказывать; множить
kerätä	собирать; набираться
keskari (= keskiolut)	пиво средней крепости (разг.)
keskellä	посередине, посреди, в середине; среди (кого-чего), в центре (чего)
kesken	незаконченный; между (кем-чем)
keskeyttää	прерывать; перебивать
keskimmäinen	средний
keskiviikko	среда
keskusta	центр (города и т. п.); партия центра
keskustella	разговаривать; обсуждать
kestävä	прочный, устойчивый
kestää	выдерживать, переносить; держаться; длиться
kesä	лето
kesäkuu	июнь
kesäloma	летний отпуск, летние каникулы
kesämökki	[летняя] дача
kesätapahtuma	культурные мероприятия, организуемые в летнее время по всей Финляндии
kesäyliopisto	летний университет
keuhkot	легкие
kevät	весна
kieli	язык; струна
kieltää	запрещать; отрицать; отказывать (кому в чем); отрекаться
kierros	круг; оборот; тур, раунд; [чья-то] очередь [угошать] kihloissa (> olla
kihloissa)	обручен, помолвлен (> обручаться)
Kiina	Китай
kiinni	закрыто; выключено; привязано и проч.
kiinnostava	интересный
kiinnostuksen kohde	предмет или человек, которым кто-то интересуется
kiire	спешка
kiireellinen	спешный, срочный, неотложный
kiirehtiä	спешить, торопиться; ускорять; торопить
kiitos	спасибо
kiitos kysymästä	Спасибо, нормально!
kiitti	спасибо (разг.)
kiivetä	лазить; взбираться, карабкаться
kilo	килограмм
kilometri	километр
kiltti	добрый, хороший; послушный, паинька
kinkku	ветчина; [рождественский] окорок
kioski	киоск
kipeä	больной
kippis	[За] ваше здоровье! (разг.)
kiristyä	обостряться; крепчать (о морозе)
kirja	книга
kirjasto	библиотека
kirje	письмо
kirjemaksu	почтовый сбор за письмо
kirjemerkki	почтовая марка для писем
kirjoittaa	писать
kirkas	яркий; ясный; прозрачный
kirkko	церковь; собор
kirpputori	толкучий рынок, барахолка
kisat	игры; соревнования
kissa	кошка
kissanruoka	корм/питание для кошек
kiva	интересный, отличный; клевый (разг.)
koe	экзамен; опыт, эксперимент, испытание; анализ
koettaa	пробовать, пытаться, стараться
kohta (= pian) ,	скоро, вскоре; сейчас
kohtelias	вежливый, любезный, галантный
koira	собака
koittaa (= yrittää)	стараться, пытаться
kokeilla	пробовать, испытывать, экспериментировать; примерять
koko (kokonainen)	весь; целый; полный
koko (suuruus)	размер, величина; рост; объем
kokoinen	величиной, размером (кого-что); [какого-то] размера/роста
kokous	собрание; заседание; съезд; митинг; конференция
kolikko	монета
kolme	три
kolmekymmentä	тридцать
kolmetoista	тринадцать
kolmonen	тройка
komea	интересный, красивый; видный; роскошный, великолепный, пишный, шикарный
kone	машина
konepelti	карот
konjakki	коньяк
konsertti	концерт
koristella	украшать
korjaaja	тот, кто чинит, исправляет, ремонтирует
korjata	чинить, исправлять, ремонтировать
korkea	высокий
kortti	открытка; карточка; карта
koru	украшение; ювелирное изделие; бижутерия
koskea (= sattua, olla kipeд)	болеть, больно
koti	свой угол, домашний очаг, дом
koti-ilta	вечер, проведенный/проводимый дома
kotimaa	родина
kotimainen	отечественный; внутренний
kotoisin	родом откуда-то
kotona	дома
koukku	крюк, крючок
koulu	школа
koulutoveri	соученик, школьный товарищ
kova (= voimakas, ankara)	сильный; строгий, суровый
kovaa (= voimakkaasti)	сильно, крепко; громко
kovasti	много, очень; сильно, крепко; строго
kovin	очень
kuha	судак
kuhafile	судаковое филе
kuin	чем; как
kuinka	Как? Сколько?
kuitenkin	все же, все-таки, все равно, однако, тем не менее
kuittaus	расписка
kuivausrumpu	сушильный барабан
kuivua	сохнуть, вы/за/просыхать; иссякать
kuivuminen	высыхание, засыхание
kuka	кто kukaan (> ei
kukaan)	> никто
kulho	миска, чашка
kulkea	ходить, ездить; двигаться
kulma	угол; край, сторона
kulta	 золо[т]ко
kulua	изнашиваться, истираться; уходить (на что); идти, проходить (о времени)
kuluessa (aikana)	в течение, во время (чего)
kuluttua	через, спустя
kumpi	который [из двух]
kumpikin	и тот, и другой; оба, обе
kun	когда; пока не
kunnolla	как следует, хорошо, прилично
kunnollinen	порядочный, приличный; [благо]пристойный
kuntoilla	заниматься физкультурой
kuollut	мертвый, умерший
kuppi	чашка
kurja	жалкий, убогий; скверный; скучный
kurkku	горло
kurkkukipu	боль в горле
kutsua	приглашать; собирать, созывать; звать, призывать; вызывать; называть[ся]
kuudes	шестой
kuudestoista	шестнадцатый
kuukausi	месяц
kuule	слушай
kuulemiin	До свидания! (по телефону)
kuulua	слышаться; гласить, звучать; принадлежать; касаться; следовать, надлежать и проч.
kuuluisa	известный, знаменитый
kuulumisia	новости, дела (партитив мн. ч.)
kuuma	жаркий; горячий
kuume	жар, [повышенная] температура
kuumemittari	градусник
kuunnella	cлушать, про/выслушивать; прислушиваться (к кому-чему), слушаться (кого-чего)
kuusi (joulukuusi)	ель; eлка [рождественская]
kuusi	шесть
kuusikymmentä	шестьдесят
kuusitoista	шестнадцать
kuutonen	шестерка
kuva	картинка, рисунок, изобразение, иллюстрация; картина, портрет; фото[графия]; отражение; образ, представление; имидж и проч..
kyllä	да (ответ)
kylmetä	холодеть, охлаждаться; стынуть, остывать
kylmyys	холод, стужа; холодность
kylmä	холодный
kylpy	купание; ванна
kylpyamme	ванна
kylpyhuone	ванная
kylpylä	водно-оздоровительный центр; [курортный] санаторий; купальня; аквапарк; курорт
kylä	деревня, село, поселок
kymmenen	десять
kymmenes	десятый
kymppi	десятка
kynttilä	свеча, свечка
kysyminen	спрашивание
kysymys	вопрос (>
kysyä	спрашивать
kyyti	провоз; транспорт; подвозить (кого-то)
kännykkä	мобильный телефон
käsi	рука
käteinen	наличные
käteisellä	наличными
kätevä	умелый; удобный
kävellä	ходить, идти [пешком]; гулять; прогуливаться
kävely	ходьба; прогулка kдvit (> kдydд) ты [с/за]ходил/[съ]ездил/заезжал и т. д. (>[с/за]ходить и др.)
käydä sisään (= astua sisддn)	входить
käyttää	пользоваться, использовать, употреблять; применять; эксплуатировать, работать (чем); носить (одежду), ходить (в чем)
käyttä	[ис]пользование, употребление; применение; эксплуатация; обиход и проч.
käytävä	ход, переход; коридор; кулуары
kääntää	поворачивать; переводить и проч.    
 	 
L	Наверх
laadukas	качественный
laatikko	ящик
laatu	качество
lahja	подарок; дар[ование], талант
lahjakortti	подарочный чек
lahjapakkaus	подарочная упаковка
lainata	занимать, брать взаймы; одалживать, давать взаймы; брать/давать (на время); заимствовать
laittaa päälle (= käynnistää)	 заводить, [за]пускать; включать
laituri	причал, пристань; перрон; платформа
laiva	корабль, теплоход, пароход; судно
lakana	простыня
lakkiaiset	выпускной вечер/выпускные торжества по поводу окончения гимназии (в честь полученной в этой связи белой фуражки)
Lappi	Лапландия
lapsellinen	детский; наивный
lapsenlapsi	внук, внучка
lapsi	ребенок
lasi	стекло; стакан, бокал, рюмка
lasillinen	стакан (чего)
laskea (= alentaa)	с/понижать; опускаться, падать
laskea (= kalkyloida)	считать; под/высчитывать; исчислять; расчитывать
laskea (mennä alas)	спускаться, съезжать
lasku	спуск; с/понижение, падение; подсчет; счет, кредит
lastenlapsi	внук, внучка
lastenosasto	детское отделение; детский отдел
lauantai	суббота
lautanen	тарелка
lavuaari	раковина
leffa	кинофильм; кинотеатр (разг.)
lehti	лист; газета; журнал
leikata (operoida kirurgisesti)	оперировать
leikkiä	играть (в куклы, казаки-разбойники и проч.)
leimahtaa	*вспыхнуть; *свекрнуть; *загореться
leimata	штемпелевать; компостировать; ставить клеймо, клеймить и проч.
leipoa	печь
leipä	хлеб
leirintäalue	кемпинг
leivos	пирожное
lempiruoka	любимое блюдо
lento	полет; рейс
lentokone	самолет
lentää	летать
lepo	отдых; покой
levyke	дискета
levätä	отдыхать
liha	мясо; плоть
lihapulla	битки
lihas	мышца, мускул
liian	слышком, чересчур
liikaa	слышком много
liike (= yritys, firma)	предприятие, фирма
liikutella	шевелить (что, чем)
liinavaate	белье
limsa (= limonadi)	лимонад (разг.)
lingota	отжимать (белье) центрифугой; метать из пращи, бросать
linja-autoasema	автовокзал
lintu	птица
lipas	шкатулка
lippu	знамя, флаг; билет; бюллетень
lippupalvelu	Билетная касса (предприятие)
lista	рейка, карниз, плинтус; список; топ
lisäke	придаток; присмесь; гарнир
litra	литр
liukas	скользкий; проворный; хитрый, ловкий
lohi	[cобственно] лосось; семга
lohikala	рыба из семейства лососевых
loistava	сияющий, блестящий; прекрасный, отличный, великолепный
lokakuu	октябрь
lokero	ячейка; отделение
loma	отпуск, каникулы
lomailla	отдыхать
lomamatka	турпоездка; путевка
lomaromanssi	роман с кем-то во время отпуска (обычно на юге)
lompakko	бумажник
Lontoo	Лондон
loppu	конец
loppupäivä	весь остальной день; к вечеру
loppuunmyyty	[рас]продано; аншлаг
loska	слякоть
lotto	лото, денежная лотерея
lottovoitto	выигрыш в лото; *посчастливиться (кому во чем)
lounas	ленч, обед; юго-запад
lounasruoka	ленч, обед; блюда, подаваемые на ленч/обед
luistella	кататься (на коньках/роликах); идти коньковым ходом
luistinrata	каток
lukea	читать; учить[ся], изучать, заниматься, готовиться; считать (кого-что кем-чем)
lukusanat	[имена] числительные
lumi	снег
lumisade	снег[опад]
luokka (koulussa)	класс (в школе)
luonne	характер; нрав
luottokortti	кредитная карточка
lusikka	ложка
luukku	люк, отверстие, заслонка; окошко, касса
luulla	думать; принимать (кого-что за кого-что)
luultavasti	вероятно
luvata	обещать
lähellä	близко, поблизости, недалеко
lähettää	посылать, отправлять; передавать (по радио и телевидению)
lähipäivä	ближайщий день
lähteä	*пойти, *поехать, *отправиться [в путь] и проч.
lдhteд käyntiin	заводиться; *заработать (о машине); *начинаться (о деятельности)
lähtö	отправление; уход; отъезд; старт
lämmetä	согреваться; нагреваться; теплеть
lämmin	теплый; горячий (о пище)
lämpö	тепло; теплота; температура
lämpötila	температура
länsi	запад
lääkдri	врач
löytää	находить, отыскивать; обнаруживать; открывать (что-то новое)    
 	 
M	Наверх
maa	земля, свет; суша; почва, грунт; деревня; страна; масть
maailma	мир, свет
maakunta	область, провинция
maalainen	деревенский, сельский (прил.); человек из деревни, провинциал; человек из какой-то страны
maalata	красить, окрашивать; накрашивать[ся]; писать (портрет)
maaliskuu	март
maanantai	понедельник
maaseutu	деревня, сельская местность; провинция
maata	лежать; спать (с кем)
mahdollinen	возможный; потенциаьный
mahtaa	мочь
mainio	отличный, замечательный, отличный, великолепный
mainos	реклама; объявление; афиша, анонс
maisema	пейзаж, ландшафт; вид
maistua	иметь какой-то вкус/вкус чего-либо; [не]вкусно; хотеть
maito	молоко
majoitus	 размещение(например в гостинице) проживание
makea	сладкий
makkara	колбаса
maksaa	платить;выплачивать; расплачиваться; стоить
maksikirje	письмо по размерам больше стандартного
makuuhuone	спальня
maljakko	ваза
malli	образец, модель; макет
mamma	бабушка (в Западной Финляндии); мама (со шведской интерференцией); [полная] женщина [среднего или пожилого возваста] (шутл.)
mansikka	земляника, клубника
marraskuu	ноябрь
masu (= vatsa)	желудок, живот
materiaali	материал
matka	дорога, путь; рейс; поездка; путешествие; тур, путевка
matkakohde	туристический объект
matkalaukku	чемодан
matkatoimisto	бюро путешествий, турагенство/-бюро/-фирма
matkustaa	ехать, ездить, летать
matkustella	путешествовать, ездить, разъезжать
matto	ковер; половик
me	мы
meinata	собираться сделать, намереваться; думать, иметь в виду (разг.)
mennä	идти, ехать
mennä elokuviin	идти в кино
mennä naimisiin	жениться, выходить замуж
meno	отглагольное существительное от mennä; встречается в самых разных оборотах речи, перевод полностью зависит от контекста
menolippu	билет туда/в один конец
meno-paluu	туда и обратно
meri	море; океан
meripihkakoru	ювелирное изделие из янтаря
meritaimen	морской таймень, морская кумжа
merkki	[oт/по]метка; знак, сигнал; марка; след; признак
Mersu (= Mercedes Benz)	Мерцедес (разг.)
meteli	шум
mieheni (mies)	мой муж/супруг
mielellään	охотно, с удовольствием
mielenkiintoinen	интересный
mielestä(ni)	на (мой) взглад, по (моему) мнению, (я) счита(ю)
mieli	душа; настроение; ум, голова; мнение, взгляд; смысл
mielipide	мнение, взгляд
mieluummin	лучше, препочтительно, скорее
mies	мужчина; муж, супруг
miestenhuone	мужской туалет, мужская уборная
mieto	слабый, некрепкий, легкий, неострый
miettiд	думать, размышлять; обдумывать
mihin	куда
mihin aikaan	Когда? В какое время? Во сколько?
miksi	Почему? Зачем? Отчего?
mikä	что [за], какой; что, который
mikäs siinä	Почему бы нет? Давай. Ладно.
millainen	какой, каков
milloin	когда
minkälainen	какой, какого рода
minttulikööri	мятный ликер
minuutti	минута
minä	я
missä	где
mistä	откуда
mitata	мерить, вымерять, отмеривать и т. п.
miten	как
Miten menee?	Как дела?
mitä	что
Mitä kuuluu?	Как дела? Что слышно? Что нового?
mitä mieltä	Что ты/вы думаешь/-ете? Как ты/вы считаешь/-ете? Как ты/вы относишься/-итесь? Ваше мнение?
moderni	современный
moi moi	Пока!
Moi!	Привет!
moikka (= moi)	Привет!
molemmat	оба, обе
monesko	который/какой (по счету); какое [число]?
moni	многие, много monta (> moni) > многие, много (партитив ед. ч.)
moottoripyörä	мотоцикл
morsian	невеста
muikku	ряпушка
muistaa	помнить; вспоминать; запоминать
mukaan	с (кем), с собой; по, согласно (кому-чему)
mukana	вместе с (кем), с собой; сопровождать (кого)
mukava	удобный; конфортабельный; уютный; приятный
mukavasti	удобно; конфортабельно; уютно; приятно
muki	кружка
mummola	дом бабушки, [у] бабушк[и], [к] бабушк[е]
murre	диалект; говор
museo	музей
musta	черный
mutta	но, а, однако
muu	другой, иной; кто/что-нибудь еще; прочий, остальной
muun muassa	в частности, в том числе; между прочим
muutama	несколько
muuten	иначе, а то; просто так; кстати, между прочим
muuttaa	[из/пере]менять; превращать; переезжать и проч.
muutto	переезд, переселение; миграция
muuttolintu	перелетная птица
muuttua	[из/пере]меняться; превращаться; делаться, становиться и проч.
myrsky	буря, шторм; циклон
myydä	продавать; сбывать
myyjä	продавец
myöhemmin	позже, позднее; потом, затем
myöhässä	поздно, с опозданием; опаздывать, задерживаться
myös	тоже; также
mäti	икра
määrätä	назначать, приказывать; устанавливать; распоряжаться; прописывать; определять
mökki	изба; домик; дача    
 	 
N	Наверх
naapuri	сосед (> mennд naimisiin)
naimisiin	> жениться, выходить замуж (> olla naimisissa)
naimisissa)	> женат, замужем
